source,target,maxflow,degree_centrality,link_type,closeness_centrality,eigenvector_centrality,id,length,betweenness_centrality,link_category,katz_centrality
P_B110,P_B111,0.3202092617521073,0.00980392156862745,Power,0.0004773461008500836,-3.650492150651145e-17,P_L100,172.08,0.02066341122325395,Power line,-0.029606452421505614
P_B111,P_B112,0.24010308233926972,0.00980392156862745,Power,0.00045794350109403713,-2.819635350655592e-17,P_L101,194.458,0.015850260758600316,Power line,-0.028721468476720788
P_B112,P_B113,0.1600354815263838,0.00980392156862745,Power,0.0004393978698318281,-1.0858138277091484e-17,P_L102,181.637,0.010970416949942413,Power line,-0.029730469694499634
P_B113,P_B114,0.08000724571244013,0.008986928104575163,Power,0.0004230168294116388,-3.6348850735972467e-19,P_L103,175.266,0.00602387979728024,Power line,-0.032054858264337474
P_B114,P_B53,0.02000029489251469,0.005718954248366014,Power,0.00041128447051685393,2.485247638604543e-18,P_L384,93.994,0.00201863086746743,Power line,-0.03869540885931782
P_B115,P_B116,0.8640518113210152,0.00980392156862745,Power,0.000727841806431966,-2.65737109068824e-17,P_L104,242.166,0.054330530959128445,Power line,-0.030002174033889106
P_B115,P_B267S,0.9447655658887189,0.006535947712418301,Power,0.0007748902388759003,-2.0072747885802598e-17,P_L267S,132.628,0.05877464182491031,Power line,-0.0645550481069545
P_B116,P_B117,0.7829608668593436,0.008986928104575163,Power,0.0006754136945952699,-8.291512651048331e-18,P_L105,223.051,0.04981972674934232,Power line,-0.030786595357729193
P_B117,P_B118,0.7221337419354505,0.008169934640522876,Power,0.0006360344731095738,-2.1541084713971844e-18,P_L106,172.051,0.04616306417383034,Power line,-0.03143669661923442
P_B118,P_B119,0.6615896121378878,0.008169934640522876,Power,0.0006092400874767465,-7.482029313247525e-18,P_L107,124.259,0.042463717858155635,Power line,-0.03391395268580308
P_B119,P_B120,0.6012592457950509,0.008169934640522876,Power,0.0005859589950431457,2.6748965388198706e-17,P_L108,156.153,0.038721687802318196,Power line,-0.032147806194703574
P_B120,P_B121,0.5409161151450469,0.008986928104575163,Power,0.0005613314015153806,3.628376854048767e-17,P_L109,162.492,0.034936974006318025,Power line,-0.03070012607161165
P_B121,P_B122,0.46062668599513423,0.00980392156862745,Power,0.0005359812140451431,2.114165779390472e-17,P_L110,194.354,0.03014605775171397,Power line,-0.030026066955597862
P_B122,P_B123,0.3803754708125809,0.008986928104575163,Power,0.0005109330401543103,2.144618770619123e-17,P_L111,187.981,0.025288448153105644,Power line,-0.030908440567516696
P_B123,P_B124,0.320209625844392,0.008986928104575163,Power,0.0004892151482958938,4.996394071113968e-18,P_L112,172.08,0.021354341266535914,Power line,-0.0330415162010847
P_B124,P_B125,0.240101715165534,0.00980392156862745,Power,0.00046951127902308826,-1.5471125001689564e-17,P_L113,181.721,0.016376683648719907,Power line,-0.03204163602187243
P_B125,P_B126,0.1600375235511998,0.00980392156862745,Power,0.00045054142646243367,-8.663214946069619e-18,P_L114,184.795,0.01133233268689963,Power line,-0.030277690584502158
P_B126,P_B127,0.08000837095460576,0.008986928104575163,Power,0.00043204853380264405,-4.577328117530441e-18,P_L115,200.751,0.006221288381075087,Power line,-0.032457281391907775
P_B127,P_B52,0.0200003231185731,0.005718954248366014,Power,0.000418250524122086,-1.5784202158499374e-17,P_L383,103.577,0.0020844337287323784,Power line,-0.035956770602251345
P_B128,P_B129,0.44105559199277383,0.006535947712418301,Power,0.0007426508280019924,9.146104445025638e-17,P_L116,255.014,0.03198190736662504,Power line,-0.026662970375919505
P_B128,P_B268S,0.4812178582166665,0.004901960784313725,Power,0.0007930678618656652,4.1498491815776295e-17,P_L268S,116.692,0.03465578114587307,Power line,-0.0364731717932927
P_B129,P_B130,0.40075775341366765,0.006535947712418301,Power,0.0006859949749188031,9.499794424285563e-17,P_L117,210.338,0.029284023983535475,Power line,-0.0260472592776482
P_B130,P_B132,0.3605545017989794,0.006535947712418301,Power,0.0006399382492422636,6.717508681391782e-17,P_L118,231.131,0.02656213099660437,Power line,-0.027667389476945296
P_B132,P_B133,0.3203734422034571,0.006535947712418301,Power,0.0006017195834218257,5.2757241422405825e-17,P_L120,180.192,0.023816228405831735,Power line,-0.030373295891115537
P_B133,P_B134,0.2802618048340768,0.006535947712418301,Power,0.0005708042913492771,4.1068503443893846e-17,P_L121,194.412,0.02104631621121756,Power line,-0.02909404766549474
P_B134,P_B135,0.2401695637261583,0.006535947712418301,Power,0.0005421480020936764,3.7839343140930365e-17,P_L122,187.988,0.01825239441276185,Power line,-0.02877011832509659
P_B135,P_B136,0.200103988380567,0.006535947712418301,Power,0.0005157579241329862,2.5069352384341558e-17,P_L123,200.726,0.015434463010464604,Power line,-0.02927568544523272
P_B136,P_B137,0.1600553188514262,0.006535947712418301,Power,0.0004918131174234974,2.948403348530999e-17,P_L124,184.823,0.01259252200432582,Power line,-0.02949981985021273
P_B137,P_B138,0.1200265761064242,0.006535947712418301,Power,0.00047037754013765,2.6252542579444326e-17,P_L125,192.787,0.009726571394345499,Power line,-0.02870747290351737
P_B138,P_B139,0.08000965501289282,0.006535947712418301,Power,0.0004505295437514706,1.9171690500078732e-18,P_L126,186.415,0.006836611180523642,Power line,-0.030019267282585256
P_B139,P_B140,0.040002303558324126,0.005718954248366014,Power,0.000431943578803056,-2.0492373273322296e-18,P_L127,199.133,0.003922641362860248,Power line,-0.025622650525972467
P_B140,P_B51,0.02000030746660109,0.004084967320261438,Power,0.00041853719457705946,1.2228472414151702e-18,P_L382,95.587,0.001966656148950466,Power line,-0.03415753188000395
P_B169,P_B170,0.2802912207789789,0.006535947712418301,Power,0.000752416324962279,1.4723073048009228e-17,P_L128,207.319,0.018195676830302435,Power line,-0.02856987567843851
P_B169,P_B284S,0.32036970813334303,0.004901960784313725,Power,0.0007987471103807536,6.037137819431698e-18,P_L284S,117.494,0.020699020819265206,Power line,-0.037431077455095045
P_B170,P_B171,0.24018526651543234,0.006535947712418301,Power,0.0006995145083590595,3.341251679105694e-17,P_L129,207.123,0.015668323237498127,Power line,-0.028563580739586772
P_B171,P_B172,0.2001073742445023,0.006535947712418301,Power,0.0006558798083912745,3.196982980964095e-17,P_L130,181.609,0.013116960040852279,Power line,-0.027219823555102128
P_B172,P_B173,0.1600598420549321,0.006535947712418301,Power,0.0006191348331680208,2.5605936224819742e-17,P_L131,188.312,0.010541587240364896,Power line,-0.029770018320744815
P_B173,P_B174,0.12002821982299354,0.006535947712418301,Power,0.000585686165888336,3.755833972711179e-17,P_L132,186.45,0.007942204836035978,Power line,-0.029618196260402983
P_B174,P_B175,0.08001051320027955,0.006535947712418301,Power,0.0005548690109948855,3.876094070683541e-17,P_L133,197.597,0.005318812827865522,Power line,-0.029806539141758768
P_B175,P_B176,0.040002063117588735,0.005718954248366014,Power,0.0005273461603195126,1.002558298990688e-17,P_L134,180.079,0.002671411215853529,Power line,-0.03138839044084852
P_B177,P_B178,0.5812624882645449,0.00980392156862745,Power,0.0007748342794589688,7.704953276001124e-18,P_L135,181.609,0.03446484485721372,Power line,-0.03050619502966925
P_B177,P_B286S,0.6615786848934071,0.006535947712418301,Power,0.0008174888201225401,8.638672243684978e-18,P_L286S,109.524,0.038842144279586835,Power line,-0.04234446628999556
P_B178,P_B179,0.5008577525262783,0.00980392156862745,Power,0.0007215392734015336,9.996549222770742e-18,P_L136,224.627,0.030020852090836336,Power line,-0.03160395522548508
P_B179,P_B180,0.42048551477295326,0.00980392156862745,Power,0.0006765920979555772,1.1398601198653497e-17,P_L137,157.713,0.025510165980454684,Power line,-0.028823564467311588
P_B180,P_B181,0.34030089167600297,0.00980392156862745,Power,0.0006382268559473698,-7.021299107257452e-18,P_L138,215.069,0.020932786526068763,Power line,-0.029019287030995718
P_B181,P_B182,0.260135830607761,0.00980392156862745,Power,0.00060129397159977,-1.661188753338706e-17,P_L139,180.044,0.016288713727678573,Power line,-0.03151139637479534
P_B182,P_B183,0.18005482314024557,0.00980392156862745,Power,0.0005701041499930189,-2.034602491415323e-17,P_L140,192.866,0.011577947585284114,Power line,-0.031028084985537073
P_B183,P_B184,0.10001306298971677,0.008986928104575163,Power,0.0005423416354061327,-3.0640085787140745e-17,P_L141,170.487,0.006800488098885388,Power line,-0.03047774862365125
P_B184,P_B185,0.04000151472144814,0.006535947712418301,Power,0.0005213226312536466,-2.1315589004614163e-17,P_L142,127.455,0.0029305013020833335,Power line,-0.03530582382705394
P_B186,P_B187,0.62150381368626,0.00980392156862745,Power,0.0007882623992628888,-1.0308063527850321e-17,P_L143,189.581,0.03772096729316727,Power line,-0.032258276462872715
P_B186,P_B287S,0.7018083035027727,0.006535947712418301,Power,0.0008306981220968911,-9.841963216118913e-18,P_L287S,93.301,0.04213596815679397,Power line,-0.04474528547496954
P_B187,P_B188,0.5410186912549223,0.00980392156862745,Power,0.0007353729596222186,1.3145996048020313e-17,P_L144,199.139,0.0332392730855363,Power line,-0.032207279172487335
P_B188,P_B189,0.46063188719821485,0.00980392156862745,Power,0.0006896430703792835,8.795063286606975e-18,P_L145,180.023,0.02869088553390106,Power line,-0.033439842117471724
P_B189,P_B190,0.38037793200639947,0.00980392156862745,Power,0.0006503815120437649,2.9978423623943265e-18,P_L146,186.395,0.024075804638261557,Power line,-0.032687085921836445
P_B190,P_B191,0.3001983393755589,0.008986928104575163,Power,0.0006162553413123124,6.2061915283415564e-18,P_L147,165.686,0.01939403039861778,Power line,-0.03214556977172088
P_B191,P_B192,0.24009875754219084,0.008169934640522876,Power,0.0005900896519021829,-4.393774056611294e-19,P_L148,129.048,0.01560059179921969,Power line,-0.03332912796397214
P_B192,P_B193,0.1800489679130212,0.008986928104575163,Power,0.0005657668074547424,-5.068766911145982e-18,P_L149,170.465,0.011764469459658864,Power line,-0.03400445347085717
P_B193,P_B194,0.10001179247421917,0.008986928104575163,Power,0.0005413008262115321,-2.0193913168749492e-17,P_L150,153.067,0.006909292525603992,Power line,-0.03257371726119031
P_B194,P_B195,0.04000133561367573,0.006535947712418301,Power,0.0005227345294622709,-2.036070573533824e-17,P_L151,109.933,0.002977131770677021,Power line,-0.038301060967729464
P_B196,P_B197,4.147266965522014,0.008169934640522876,Power,0.0008416643671642627,-4.2530249959357346e-17,P_L152,187.981,0.0559605707517382,Power line,-0.029532665338049265
P_B196,P_B285S,4.09813360245344,0.004901960784313725,Power,0.0008361437525131463,-1.1089728449280966e-17,P_L285S,83.246,0.05567167491996799,Power line,-0.0294457178307096
P_B197,P_B198,4.248295940418049,0.00980392156862745,Power,0.0008520679921503577,-5.657661577503975e-17,P_L153,237.366,0.05654042346105109,Power line,-0.026940575352286146
P_B198,P_B199,4.355886130030523,0.008169934640522876,Power,0.0008650921726426968,-3.8521223912613165e-17,P_L154,189.681,0.057343646768603276,Power line,-0.028293940728156195
P_B199,P_B269S,4.431794922393337,0.004901960784313725,Power,0.0008756050556233135,-1.3253466694235534e-17,P_L269S,105.937,0.05786100117130186,Power line,-0.0375175582109564
P_B200,P_B201,0.6013833218920405,0.00980392156862745,Power,0.0007903814272641216,-3.116219186164579e-17,P_L155,195.953,0.03483033313423026,Power line,-0.02944520808233175
P_B200,P_B288S,0.6817068555318403,0.006535947712418301,Power,0.0008360220056082208,-1.5341982506483756e-17,P_L288S,104.781,0.03900230974551279,Power line,-0.04129460501309931
P_B201,P_B202,0.5209124427033504,0.00980392156862745,Power,0.0007395253198373289,-2.6225095055602662e-17,P_L156,172.051,0.030591663178943455,Power line,-0.02952420615491263
P_B202,P_B203,0.4406017155978211,0.008986928104575163,Power,0.0006953027553816982,-1.031713255572729e-17,P_L157,191.167,0.026286299879652385,Power line,-0.0306698903607599
P_B203,P_B204,0.38035448883489315,0.008986928104575163,Power,0.0006572839241699925,-1.1408154405668163e-17,P_L158,154.527,0.022793990032536453,Power line,-0.03236673710656601
P_B204,P_B205,0.3002051379296903,0.00980392156862745,Power,0.0006233104885316101,-9.690717229551123e-18,P_L159,191.167,0.0183685787140377,Power line,-0.03330788083372062
P_B205,P_B206,0.22008989977593754,0.008986928104575163,Power,0.0005913512392729499,-1.4822778698746057e-17,P_L160,164.093,0.013876474051534677,Power line,-0.03459306070750376
P_B206,P_B207,0.1600366059154931,0.008169934640522876,Power,0.0005663076215618261,-3.6792386909561806e-17,P_L161,140.226,0.010234771113849185,Power line,-0.03595273513268865
P_B207,P_B208,0.1000123644870369,0.008169934640522876,Power,0.0005433974738608316,-1.7100119907404142e-17,P_L162,162.524,0.006550384436000963,Power line,-0.035957672963566355
