source,target,closeness_centrality,length,link_category,betweenness_centrality,link_type,degree_centrality,maxflow,katz_centrality,id,eigenvector_centrality
P_B0,P_B1,0.0007397969531451893,100.363,Power line,0.05886308501112441,Power,0.005718954248366014,13.70935067926729,-0.026141943935592337,P_L1,-2.0837819909890903e-18
P_B0,P_B79,0.0007278066566034323,56.033,Power line,0.04236170039966263,Power,0.005718954248366014,3.6393049291967174,-0.04127897842354207,P_L394,-3.4288234684447756e-18
P_B1,P_B2,0.0007578232705136019,183.23,Power line,0.04873851380253436,Power,0.004901960784313725,13.356729678787866,0.012795964471809213,P_L2,-1.041804866634465e-17
P_B2,P_B3,0.000782092152687041,199.139,Power line,0.050956518715884795,Power,0.004901960784313725,11.007031983866707,0.0013191986100706144,P_L3,-1.1018678034271257e-17
P_B3,P_B4,0.0008031872300875516,165.686,Power line,0.05448050706692183,Power,0.004901960784313725,9.247284951954143,-0.027707898448525586,P_L4,1.1446713593676626e-19
P_B6,P_B7,0.0008685618683811887,208.715,Power line,0.036470264863758005,Power,0.004084967320261438,5.642656800432745,-0.011749554218165252,P_L7,-1.7905175328151605e-17
P_B6,P_B6S,0.0008484065561968698,211.105,Power line,0.036184356046292214,Power,0.0032679738562091504,5.683334416540103,-0.005523277241369641,P_L6S,-7.587378994268175e-18
P_B7,P_B8,0.0008842999639931874,195.947,Power line,0.044703026555674354,Power,0.004084967320261438,3.876053332614951,-0.006492585664812983,P_L8,-1.3097306353482777e-17
P_B10,P_B11,0.0008511713568823719,199.139,Power line,0.04980582495856416,Power,0.006535947712418301,1.2716930749935027,-0.015620655113510178,P_L11,-8.540130076522273e-17
P_B10,P_B16S,0.0008841068343158449,198.338,Power line,0.05107914715365313,Power,0.004901960784313725,1.3138667110000264,-0.03428880807664378,P_L16S,-6.677492969511182e-17
P_B11,P_B12,0.0008189790559811509,208.715,Power line,0.050350525789742986,Power,0.005718954248366014,0.3329580125227377,-0.01706816969935137,P_L12,-8.553697883431435e-17
P_B12,P_B13,0.0007888376894618066,189.581,Power line,0.04949932581268185,Power,0.004901960784313725,0.3128075227921821,-0.014806660611244657,P_L13,-4.8305728018611e-17
P_B13,P_B297S,0.000761378899120252,195.549,Power line,0.05122714332314957,Power,0.004084967320261438,2.000364392308244e-13,-0.0038454410355759465,P_L297S,-2.17578429602089e-17
P_B25,P_B26,0.0008853275200697149,168.872,Power line,0.03568382593922986,Power,0.007352941176470588,1.1038072833499148,-0.016234556910513422,P_L21,3.872493038046063e-17
P_B25,P_B20S,0.0008947979564936238,228.617,Power line,0.035859811372465654,Power,0.004901960784313725,1.1456610049459766,-0.044699586321981344,P_L20S,2.8501931733960155e-17
P_B26,P_B27,0.0008791379629372372,208.746,Power line,0.044620578048927904,Power,0.006535947712418301,0.1640786945113985,-0.02217168580349785,P_L22,3.520678659101007e-17
