water_id,power_id
W_WP1,P_MP1
W_WP2,P_MP1
W_WP3,P_MP1
W_WP4,P_MP1
W_WP5,P_MP2
W_WP6,P_MP2
W_WP7,P_MP2
W_WP8,P_MP3
