time,ecs,pcs
1.0,1.0,1.0
101.0,0.9734513274336283,0.9601949634443524
113.0,0.9734513274336283,0.9601949634443524
115.0,0.9734513274336283,0.9601949634443524
117.0,0.9734513274336283,0.9601949634443524
119.0,0.9734513274336283,0.9601949634443524
121.0,0.9734513274336283,0.9601949634443524
295.0,0.9734513274336283,0.9601949634443524
297.0,0.9734513274336283,0.9601949634443524
299.0,0.9734513274336283,0.9601949634443524
301.0,0.9734513274336283,0.9601949634443524
303.0,0.9734513274336283,0.9601949634443524
309.0,0.9734513274336283,0.9601949634443524
317.0,0.9734513274336283,0.9601949634443524
353.0,0.9734513274336283,0.9601949634443524
355.0,0.9734513274336283,0.9601949634443524
357.0,0.9734513274336283,0.9601949634443524
411.0,0.9734513274336283,0.9601949634443524
413.0,0.9734513274336283,0.9601949634443524
415.0,0.9835651074589128,0.9666937449228254
417.0,0.9835651074589128,0.9666937449228254
419.0,0.9974715549936789,0.9756295694557257
421.0,1.0,1.0
423.0,1.0,1.0
607.0,1.0,1.0
609.0,1.0,1.0
611.0,1.0,1.0
615.0,1.0,1.0
617.0,1.0,1.0
619.0,1.0,1.0
835.0,1.0,1.0
837.0,1.0,1.0
839.0,1.0,1.0
841.0,1.0,1.0
843.0,1.0,1.0
897.0,1.0,1.0
901.0,1.0,1.0
955.0,1.0,1.0
1013.0,1.0,1.0
