time,ecs,pcs
0.0,0.9999999999975885,0.9999999999990656
1.0,0.999999999997586,0.9999999999990653
10.0,0.9985422740500435,0.9999999999990417
20.0,0.9985422740500172,0.9999999999990197
30.0,0.9999999999975113,0.9999999999989928
40.0,0.9985422740499614,0.9999999999989643
50.0,0.9999999999974555,0.9999999999989341
60.0,0.9985422740499051,0.9999999999989025
70.0,0.9985422740498733,0.9999999999988637
80.0,0.9985422740498285,0.9999999999988306
90.0,0.9985422740497778,0.9999999999987921
100.0,0.9999999999972433,0.999999999998743
101.0,0.6485152084898956,0.4388096469614155
110.0,0.6471372422455033,0.4383520097777366
113.0,0.6534610137247104,0.45343188528691886
115.0,0.6668614934877696,0.5076305564286085
117.0,0.6731338467584387,0.5279481335131768
119.0,0.671476157313771,0.5278284855350468
120.0,0.6717789068449411,0.5200847763693657
121.0,0.6754371980003409,0.5244989975179488
130.0,0.6755126410677222,0.5239524641906773
140.0,0.6744980682733618,0.5233420668462962
150.0,0.6734770527707272,0.5227144578972415
160.0,0.6724545315860739,0.5220737606454732
170.0,0.6714001996138677,0.5213819500379611
180.0,0.6670958949563188,0.49957047788770775
190.0,0.6660356700018006,0.49892752522291167
200.0,0.6649678837482008,0.4982866577164361
210.0,0.6638861976306305,0.4976426219336451
220.0,0.6627957808359188,0.49699725629182295
230.0,0.6616904870750185,0.4963493737004383
240.0,0.6539027393456951,0.465429200156792
250.0,0.652759289656051,0.46480306537631066
260.0,0.6516123258415669,0.464176856098195
270.0,0.650466208978936,0.4635512929177697
280.0,0.6493210780600255,0.4629264035577895
290.0,0.648175737227925,0.4623019269382517
295.0,0.6476021682079188,0.4619896624503883
297.0,0.6587664319892776,0.4655246393312157
299.0,0.6585359433596794,0.465399490080241
300.0,0.6520882819896529,0.4365144702469447
301.0,0.6583813373412719,0.43845017987184703
303.0,0.6581451346024405,0.4383346840144516
309.0,0.6584597458802207,0.4382594178485153
310.0,0.6588395936101152,0.4382016545837515
317.0,0.8519450136961028,0.6631957907359327
320.0,0.8512401889410107,0.6628184959505711
330.0,0.849606098652615,0.661559653712118
340.0,0.8479668945588696,0.6602996623158981
350.0,0.8463209416109965,0.6590344330177724
353.0,0.8458250398749874,0.6586534487730432
355.0,0.8515840912020065,0.6594666726902069
357.0,0.8514674033081566,0.6592087450133942
360.0,0.8282367890426194,0.624033012404366
370.0,0.8264676333880474,0.6226111240465975
380.0,0.8246940841502226,0.6211874930042489
390.0,0.8229159779309441,0.6197631675056436
400.0,0.8211366598922709,0.6183378937018779
410.0,0.8193532435094992,0.616902141617899
411.0,0.8191748055234526,0.6167586237627767
413.0,0.8188178362221973,0.6164715666577366
415.0,0.817267782853888,0.6161845129804256
417.0,0.8169113490707994,0.6158974627258957
419.0,0.8180126488210956,0.6156104158901307
420.0,0.8114175158138969,0.6056402655328523
421.0,0.8112370410609909,0.6054938236417288
423.0,0.8108760554695148,0.6052009138257851
430.0,0.8096112831262533,0.6041752241576158
440.0,0.807803577086218,0.6027096072091586
450.0,0.8059961242505344,0.601244074789203
460.0,0.8041874692233805,0.5997756168869324
470.0,0.8023761434047664,0.5982968515624713
480.0,0.7879916750200101,0.5702438268250395
490.0,0.7861606806759335,0.5688150670212256
500.0,0.7843276625901342,0.5673857250218363
510.0,0.7824938307514466,0.5659559983245915
520.0,0.7806604681527242,0.5645260795645394
530.0,0.7788275772558498,0.5630959688443199
540.0,0.7765655994782251,0.5579487274257439
550.0,0.7747360256446525,0.5565275174795642
560.0,0.7729069607440612,0.5551060162294056
570.0,0.7710784295089773,0.553684243138729
580.0,0.7692504349951217,0.5522621984476803
590.0,0.7674229802936271,0.5508398823854311
600.0,0.7724064323800425,0.5600045284273042
607.0,0.00145985401459854,0.0002986342047033105
609.0,0.8577904323165755,0.804224950840474
610.0,0.8577906036079744,0.8042361734381691
611.0,0.857790775157871,0.8042473937290395
615.0,0.8563337351902888,0.8042922519811178
617.0,0.857791804244956,0.8043146673203939
619.0,0.8575845440608288,0.8043370735931514
620.0,0.8575847156631716,0.8043482732739952
630.0,0.8575864304763059,0.804460144299156
640.0,0.8575881430883763,0.8045717868928868
650.0,0.8575898534986262,0.804683201434314
660.0,0.8582602551876155,0.8046443604448789
670.0,0.8582619261871781,0.8047574418328202
680.0,0.8582635949105287,0.8048702859042327
690.0,0.858265261357005,0.8049828930801778
700.0,0.858266925525987,0.8050952637520383
710.0,0.8582685874168585,0.8052073983106667
720.0,0.8459132661414145,0.7949435581903623
730.0,0.845915112995177,0.7950662226008833
740.0,0.8459169576858528,0.7951886413647656
750.0,0.8459188002066095,0.7953108145182877
760.0,0.8459206405559475,0.7954327424509933
770.0,0.8459224787323739,0.7955544255519535
780.0,0.8214595001713829,0.7698996026965872
790.0,0.8214618739853722,0.7700479777581735
800.0,0.8214650826009274,0.7702191842375959
810.0,0.8214681815592724,0.7703871215316492
820.0,0.8214712810194406,0.7705548340781981
830.0,0.8214743778523331,0.770722236097138
835.0,0.8214762282772466,0.7708141592069218
837.0,0.8202795456130013,0.7708527142221391
839.0,0.8202803550727732,0.7708913936346636
840.0,0.7952204963954129,0.7449333607005064
841.0,0.7952209689835764,0.7449552929781358
843.0,0.7952219141414584,0.7449991488962788
850.0,0.7952252215366273,0.7451525318761676
860.0,0.7952299446070707,0.7453713464497261
870.0,0.795234665574049,0.7455898038084042
880.0,0.7952393844270444,0.7458079044003403
890.0,0.7952441011557096,0.7460256486835701
897.0,0.7952474015963515,0.7461778579288643
900.0,0.7650731632774115,0.7121720230683759
901.0,0.7650741494381885,0.7122022402804912
