time,ecs,pcs
0.0,0.9985422740500701,0.9999999999990656
1.0,0.9985422740500677,0.9999999999990653
10.0,0.9999999999975618,0.9999999999990417
20.0,0.9999999999975354,0.9999999999990197
30.0,0.9999999999975077,0.9999999999989928
40.0,0.9999999999974797,0.9999999999989643
50.0,0.9999999999974517,0.9999999999989341
60.0,0.9999999999974232,0.9999999999989025
70.0,0.9999999999973913,0.9999999999988637
80.0,0.9999999999973466,0.9999999999988306
90.0,0.9999999999972957,0.9999999999987921
100.0,0.9999999999972393,0.999999999998743
101.0,0.6480020920059393,0.4388096469614155
110.0,0.6471372422455033,0.4383520097777366
113.0,0.6544839678766329,0.453684716406257
115.0,0.6678844477429383,0.5078833881714065
117.0,0.6736796241483547,0.5282009652545852
119.0,0.6734793687293934,0.5280813172919375
120.0,0.6728003700776782,0.5203408185246823
121.0,0.676458661581152,0.5247550401812122
130.0,0.6755493923457938,0.5242085068551471
140.0,0.6745362985204412,0.5235981095107114
150.0,0.6749744973262742,0.5229705005616171
160.0,0.6739534666972119,0.522329803309663
170.0,0.6729006716521201,0.5216379927022936
180.0,0.6686026430490772,0.4998348841010456
190.0,0.6675439636119863,0.49919193143625384
200.0,0.6664777338980371,0.498551063929725
210.0,0.6653976245824473,0.49790702814697896
220.0,0.6628510713685702,0.4972616625050093
230.0,0.6632051147710655,0.49661377991376976
240.0,0.6554287226100833,0.46569755782900973
250.0,0.6542869397565568,0.465071423048485
260.0,0.6516839219536201,0.4644452137704083
270.0,0.6519972017628081,0.4638196505899918
280.0,0.6493960141834254,0.46319476123000397
290.0,0.6482523429442133,0.4625702846104321
295.0,0.649137335978338,0.4622580201226126
297.0,0.6588275993751722,0.46579299700343824
299.0,0.6595589028622182,0.46566784776587
300.0,0.6531112531968111,0.4367855309451956
301.0,0.6594043004394748,0.4387212327433345
303.0,0.6591680977014112,0.4386057368866104
307.0,0.6586958267526072,0.43837483106663155
310.0,0.6583417404023828,0.4382017298189232
317.0,0.8517288749985662,0.6631957907116961
320.0,0.8512401889096083,0.6628184959263241
330.0,0.8496060986210958,0.6615596536878341
340.0,0.8479668945275606,0.6602996622916655
350.0,0.8463209415792142,0.6590344329932836
353.0,0.8458250398434354,0.6586534487486335
355.0,0.8453791867707658,0.6584558376070552
357.0,0.8462824338300273,0.6581985352210029
360.0,0.8223442976216798,0.6231843415869283
370.0,0.8205910884216465,0.621767710649128
380.0,0.8202909039779588,0.6203480899047338
390.0,0.8170709256748585,0.6189278304428384
400.0,0.816765128600216,0.6175070535951502
410.0,0.8149975752615708,0.6160752689375362
411.0,0.814820658966111,0.6159321435583781
413.0,0.9854492069017732,0.9433508786821704
415.0,0.9840008139096635,0.9433354687927326
417.0,0.9839888625856045,0.9433200508044899
419.0,0.9854133486124007,0.943304636604106
420.0,0.9834259459328577,0.9312443252362376
421.0,0.9834173899485409,0.9312322312956424
423.0,0.9833760869024385,0.9312080565744899
430.0,0.9833163396917467,0.9311235121344392
440.0,0.9832310875867694,0.9310028960544152
450.0,0.9831459593240748,0.9308824707390659
460.0,0.9830609547368999,0.930762235894198
470.0,0.9829760736568327,0.9306421912238236
480.0,0.9789244240102789,0.901424496241585
490.0,0.9787902936454227,0.9013260900353688
500.0,0.9786558975996339,0.9012278113800632
510.0,0.9785181943709289,0.9011283720934893
520.0,0.9783746709938581,0.9010277858053907
530.0,0.9782323050083724,0.9009275917877039
540.0,0.977096963666489,0.8940041102195703
545.0,0.9770229451220919,0.8939562448681472
547.0,0.9842600894495884,0.8956548699270094
549.0,0.9842072071141594,0.895635322717784
550.0,0.9827575743924283,0.8956255497920205
560.0,0.9826076184081234,0.8955277256723537
570.0,0.9824499002048168,0.8954279992402706
580.0,0.983749586337064,0.8953283736499418
590.0,0.9835892658271029,0.8952281926432787
600.0,0.9835590092836518,0.902450027263697
610.0,0.983413697764756,0.9023901541870675
615.0,0.9847993975055661,0.9023603363673303
617.0,0.9833128754548233,0.9023484106279908
619.0,0.9847418145604742,0.9023364858248983
620.0,0.984705128484048,0.9023305234306527
630.0,0.9845611467255254,0.9022709161812879
640.0,0.9844173959467346,0.9022113321251987
650.0,0.9842730036560334,0.9021516176822121
660.0,0.9842197542657956,0.9019439402927675
670.0,0.9840760379638746,0.9018858159980226
680.0,0.983931805918445,0.9018274428702653
690.0,0.9837808488436333,0.9017676485272677
700.0,0.9836186794951032,0.901701001575381
710.0,0.9834571682807915,0.9016348084750054
720.0,0.9825935335051542,0.8988642417674596
730.0,0.9824174094247691,0.8987955085837324
740.0,0.9822415774566816,0.8987268170421607
750.0,0.9820660376847202,0.8986581672956797
760.0,0.9818900668684017,0.8985893402214741
770.0,0.9817099574424292,0.8985193083981408
780.0,0.978838791356143,0.884822234570043
790.0,0.9786128613674162,0.8847071431459334
800.0,0.9783837769479132,0.8846175475569574
810.0,0.9781497107568928,0.8845235976959743
820.0,0.9779122600424779,0.8844295011983803
830.0,0.9776731926932081,0.8843353004211177
835.0,0.9775544037285369,0.8842975295972825
837.0,0.976081782332357,0.8842839639247321
839.0,0.9774587558884409,0.8842703357256447
840.0,0.9743856271682265,0.8697189752379744
841.0,0.9743563538762782,0.869712710577918
843.0,0.9728772342868571,0.8697001358987465
850.0,0.9741281155871662,0.8696513018746249
860.0,0.9738310323178624,0.8695800674219014
870.0,0.972076538075726,0.8695094550882698
880.0,0.9732372826284275,0.8694388020856793
890.0,0.9729406584588917,0.8693681934558989
897.0,0.9727299717173302,0.8693180925953788
900.0,0.9680239757194852,0.8479121031585996
901.0,0.9679868936938568,0.8479110669155175
