W_PMA1,W_PMA2,W_PMA3,W_PMA4,W_PMA5,W_PMA6,W_PMA7,W_PMA8,W_PMA9,W_PMA10,W_PMA11,W_PMA12,W_PMA13,W_PMA14,W_PMA15,W_PMA16,W_PMA17,W_PMA18,W_PMA19,W_PMA20,W_PMA21,W_PMA22,W_PMA23,W_PMA24,W_PMA25,W_PMA26,W_PMA27,W_PMA28,W_PMA29,W_PMA30,W_PMA31,W_PMA32,W_PMA33,W_PMA34,W_PMA35,W_PMA36,W_PMA37,W_PMA38,W_PMA39,W_PMA40,W_PMA41,W_PMA42,W_PMA43,W_PMA44,W_PMA45,W_PMA46,W_PMA47,W_PMA48,W_PMA49,W_PMA50,W_PMA51,W_PMA52,W_PMA53,W_PMA54,W_PMA55,W_PMA56,W_PMA57,W_PMA58,W_PMA59,W_PMA60,W_PMA61,W_PMA62,W_PMA63,W_PMA64,W_PMA65,W_PMA66,W_PMA67,W_PMA68,W_PMA69,W_PMA70,W_PMA71,W_PMA72,W_PMA73,W_PMA74,W_PMA75,W_PMA76,W_PMA77,W_PTV65,W_PTV60,W_PTV61,W_PTV62,W_PTV63,W_PTV64,W_WP81,W_WP82,W_WP83,W_WP84,W_WP85,W_WP86,W_WP87,W_WP88,W_WP89,W_WP90,W_WP91,W_WP92,W_WP93,W_WP94,time
-0.004809152253793911,-0.0009005034109612182,0.008861125070263216,0.013065647738298417,0.0008958653907644998,0.004766339753793759,-0.008375358613623322,0.0028267107676464205,-0.0008305526941372073,0.00548338108525842,-0.008929282053912795,0.02018475692873111,-0.005398545976929938,-0.0059075269502874535,-0.003577886141566367,-0.002845159886177606,-0.003080771658061058,0.0005052125079480113,0.003580961267379299,-0.011666307192798805,0.017339679800595992,0.007562283398978709,0.004166184182548203,-0.0051910352789701335,-0.006744681705513513,-0.00431782234540835,0.010011378592747868,-0.0029632274755072266,0.008186339937684604,-0.01000185770584828,0.015759365834585468,0.010371254197026211,0.019249565636200137,-0.016820733827252722,0.0012104442485125053,0.02017753239047486,0.007577451980340676,-0.005811889254409011,0.00806622137824121,0.012585410744911615,0.00026384910556284994,-0.005683720825539424,0.007284351077078128,0.017934497736497995,0.006149181965731972,0.0016592787480280119,0.0016206341988284434,0.001582004863718021,0.0018079191321319584,0.0017692738669276644,0.0014216427969047942,0.0026433314879840113,0.005569739960339674,0.00015318619272038493,8.424154761987978e-05,0.0003013860916443391,-0.0021793025461404555,-0.0009743310756050185,-0.001012664799275194,-0.0012433017745156487,0.0016593239842997755,-0.001582687248179713,0.0034569087763484277,0.006941818970423863,0.012526214072954458,0.005182038833499175,0.005451851299369644,0.0024076864525051185,0.0004982843078385422,0.0017177344872686237,-0.004086867114923881,-0.011785315770766023,-0.00511516767597495,-0.004063375885964508,-0.01384159229119166,-0.032354539276265026,-0.032664984680090874,-0.011785315770766023,-0.00511516767597495,-0.004063375885964508,-0.01384159229119166,-0.032664984680090874,-0.032354539276265026,0.003908648842832692,0.018136987094847755,0.0193733419920129,0.003915290558090618,0.009475802427205056,0.012993795056738814,0.0,0.021496146371544584,0.0,0.0,0.0,0.0193733419920129,0.0193733419920129,0.012993795056738814,0
-0.004808549603594651,-0.0009004581953578191,0.00885962252553177,0.01306306311256292,0.0008960238476394048,0.004765737103594496,-0.008374318785569726,0.0028253675290792805,-0.0008318106191192187,0.005482485161564341,-0.008929982057645657,0.020182035302282735,-0.005397899773152927,-0.00590639727505146,-0.003577607189191062,-0.0028449579468932825,-0.0030810330072823205,0.0005053236077195273,0.0035792373117385584,-0.011666187505895122,0.017333170797776788,0.007551062676250668,0.0041653576138197855,-0.005190991820364569,-0.006743395007419529,-0.004317539954987796,0.010009936484705492,-0.0029624569195165202,0.008183343296536532,-0.009999243945507096,0.01575203843394072,0.010372853337815423,0.019244144410599545,-0.016813595602496633,0.0012106945859608077,0.020170923228744097,0.007576318147688369,-0.0058128209652200565,0.00806439732154298,0.012585088769459952,0.0002607965901313225,-0.005683573367662471,0.007284444740960107,0.017933977075286274,0.006159378641835665,0.0016620447597201346,0.0016233945366587402,0.0015847595734799224,0.001810835609866411,0.0017721846679617725,0.0014245030193711873,0.002647839977122264,0.005579852185600798,0.00015320441007411837,8.425423792277619e-05,-0.00015098890295128014,-0.0021790410294352043,-0.000974214468661637,-0.0010125545339817984,-0.0012431632077272467,0.0016591393840334095,-0.001582489953108036,0.00344752741690552,0.006930416556983946,0.012521370387927395,0.005159222232900921,0.005469316108932054,0.0023628147941318523,0.0004984424109993118,0.0016726439116490435,-0.004086104691089595,-0.011774598433450608,-0.00557763667847796,-0.00361054207959196,-0.01376228270153391,-0.03234907456720625,-0.03272349906321517,-0.011774598433450608,-0.00557763667847796,-0.00361054207959196,-0.01376228270153391,-0.03272349906321517,-0.03234907456720625,0.003908091408236832,0.018134399506459314,0.019370458554533437,0.0039148571257424545,0.00947445105400454,0.012991938396806037,0.0,0.021493070366433692,0.0,0.0,0.0,0.019370458554533437,0.019370458554533437,0.012991938396806037,60
-0.004807943850793828,-0.0009004101907684741,0.008858127267560833,0.013060487725988938,0.0008961822512129142,0.004765131350793669,-0.008373273032522529,0.0028240631027479047,-0.0008330349685890259,0.005481591206425658,-0.008930661943214825,0.020179314565151575,-0.005397262050119828,-0.005905292319951855,-0.0035773243311279022,-0.0028447612250796454,-0.0030812852794863685,0.0005054232651406562,0.0035775268643919163,-0.011666053990773402,0.01732669469814932,0.007540033601758475,0.004164539509939047,-0.00519094983565871,-0.00674211975485685,-0.0043172566988439924,0.0100085011103671,-0.0029616889870272395,0.008180347813837951,-0.009996629899517533,0.01574474582398499,0.010374338028916295,0.01923869146932374,-0.016806459579953244,0.0012109531250077588,0.020164316245459536,0.007575194250708102,-0.005813757533365411,0.008062580198808912,0.012584781588742185,0.0002577461527841678,-0.005683432980072282,0.0072845454568785046,0.01793347828850225,0.006169671812928323,0.0016648369740533693,0.001626181099998782,0.0015875405321427157,0.0018137795584075493,0.001775122962637288,0.0014273909467876827,0.0026523913104012707,0.005590061256323871,0.00015322248416435821,8.426692726515292e-05,-0.0003417904034062647,-0.0021787979821726597,-0.000974106096952563,-0.0010124520545517057,-0.0012430344256821745,0.0016589678190157475,-0.001582306592844739,0.003438295879228486,0.006919206564896056,0.012516518118293815,0.005136835635210114,0.005486343251127696,0.002318177845404236,0.0004985998025312071,0.0016277890310310054,-0.00408535460095993,-0.011763806475573927,-0.0057786291755657785,-0.0034193141716111343,-0.013683831231137176,-0.0323436200399276,-0.032781194903963494,-0.011763806475573927,-0.0057786291755657785,-0.0034193141716111343,-0.013683831231137176,-0.032781194903963494,-0.0323436200399276,0.003907533660025353,0.018131810490851837,0.01936757506576304,0.003914454299249627,0.00947309926663801,0.012990081212273057,0.0,0.021489993218230034,0.0,0.0,0.0,0.01936757506576304,0.01936757506576304,0.012990081212273057,120
-0.0048073296093077535,-0.0009003547231992877,0.00885665096274727,0.013057943415611917,0.0008963406072172149,0.004764517109307591,-0.008372211104506174,0.002822854150896201,-0.0008341778291189243,0.005480709569814104,-0.00893130257381804,0.020176611536819742,-0.005396645805059019,-0.005904249082306787,-0.0035770326577584497,-0.002844578337738784,-0.003081515314528236,0.0005054935189766413,0.0035758468170797434,-0.011665895838884487,0.017320258869518386,0.007529198821214549,0.004163742687048819,-0.005190909133501613,-0.006740874222182347,-0.004316972005205063,0.010007084172380885,-0.0029609281315123564,0.008177360253330185,-0.009994020999587912,0.015737500204509532,0.0103757162398205,0.019233221600144103,-0.01679934055173554,0.0012112288029111266,0.020157726621742464,0.007574092679833574,-0.005814697298755321,0.00806078282123498,0.01258449983056932,0.0002547120123711207,-0.005683304290648841,0.007284658046781628,0.0179330165942235,0.0061798582840312255,0.0016676002355662965,0.001628938704625174,0.0015902925257480543,0.0018166930578793008,0.0017780308023772787,0.0014302483614191174,0.002656895339920257,0.00560016353216758,0.0001532406255293026,8.427962586087818e-05,-0.00044672378983572005,-0.0021785642893139903,-0.0009740018962071372,-0.001012353517944487,-0.001242910598888697,0.001658802855358036,-0.0015821302906389272,0.003429218326304642,0.006908191623240663,0.012511666126478426,0.005114879419002979,0.005502941193546814,0.0022737754177662227,0.0004987564907440794,0.0015831696453522386,-0.004084635935006218,-0.011753158310192273,-0.005893646696473997,-0.0033139707901171976,-0.01360624068759588,-0.032338214345214444,-0.0328381036157452,-0.011753158310192273,-0.005893646696473997,-0.0033139707901171976,-0.01360624068759588,-0.0328381036157452,-0.032338214345214444,0.003906974886108466,0.01812921679045273,0.019364689606346887,0.00391406697219122,0.009471745864066601,0.012988221926620922,0.0,0.021486911828170568,0.0,0.0,0.0,0.019364689606346887,0.019364689606346887,0.012988221926620922,180
-0.004806701390740566,-0.0009002870288861084,0.008855205505062256,0.013055452363622677,0.0008964989216540134,0.0047638888907404,-0.008371122556448873,0.002821798501235507,-0.0008351903808184141,0.005479850722137993,-0.008931884512095908,0.020173943284412393,-0.005396064387218981,-0.005903305399039389,-0.0035767272389314927,-0.002844418158747791,-0.003081709680575287,0.0005055159297737069,0.003574214354182185,-0.01166570208646557,0.01731387079065759,0.00751856107700265,0.004162980310727276,-0.005190869596011373,-0.006739677189851287,-0.004316685344911103,0.010005697737195963,-0.0029601788934522297,0.008174387452474818,-0.009991422804910348,0.015730313932708302,0.010376996037354806,0.019227749781321697,-0.016792253456644833,0.0012115309281589893,0.020151169690528593,0.007573026245396679,-0.0058156387981278595,0.008059018328559708,0.012584254738236397,0.00025170851627278983,-0.005683192229501112,0.007284787636781115,0.01793260812805901,0.006189861662998226,0.0016703138077959728,0.0016316466030378608,0.001592994795389685,0.0018195543345950356,0.0017808864024812451,0.0014330533753258267,0.0026613181728360803,0.005610082450145888,0.00015325891456783214,8.429234402562514e-05,-0.00052081771343911,-0.0021783365347461878,-0.0009739003432273011,-0.0010122574838921502,-0.0012427899173792563,0.0016586420818062155,-0.0015819584692258039,0.0034202989798077853,0.006897374457547068,0.012506823347407279,0.0050933540564270475,0.0055191183816467706,0.002229607386456622,0.0004989124840099333,0.0015387856182592678,-0.0040839682507519005,-0.011742746465060783,-0.005977641249017166,-0.0032394772905328818,-0.013529514132233383,-0.03233289672638105,-0.03289425681386665,-0.011742746465060783,-0.005977641249017166,-0.0032394772905328818,-0.013529514132233383,-0.03289425681386665,-0.03233289672638105,0.003906414361854457,0.018126615090397237,0.019361800224543823,0.003913689483077622,0.009470389628172022,0.012986358941438965,0.0,0.021483823046638244,0.0,0.0,0.0,0.019361800224543823,0.019361800224543823,0.012986358941438965,240
-0.004806060295366156,-0.0009002080626310594,0.00885378851164309,0.01305301004141587,0.0008966571937978327,0.004763247795365986,-0.008370009481927253,0.002820884595285406,-0.0008360824416057194,0.005479012480675628,-0.008932411742042396,0.020171306297123097,-0.005395515115993547,-0.00590245370052606,-0.0035764090703150303,-0.0028442789746835105,-0.003081871011178543,0.000505494252138678,0.003572626075354978,-0.011665475000815521,0.017307528894943115,0.007508117440456838,0.0041622497376546585,-0.00519083117441611,-0.006738524897344636,-0.0043163968004361255,0.010004339368708164,-0.0029594403824370857,0.00817142819131197,-0.009988834317061662,0.01572318461923937,0.010378176799800999,0.019222273539715153,-0.01678519565058089,0.0012118574879294206,0.020144642726594695,0.007571992303483369,-0.005816582064367502,0.008057284144463822,0.012584043721755285,0.00024873310726826275,-0.005683095634601469,0.00728493302537773,0.017932249145468555,0.006199693018747183,0.0016729806947963007,0.001634307800635625,0.0015956503478610027,0.0018223665452977177,0.0017836929210339662,0.0014358091592251998,0.0026656647185888914,0.005619829100064124,0.00015327734104648386,8.430507968199231e-05,-0.000577439012579572,-0.002178113185679168,-0.0009738007545638018,-0.0010121633061747099,-0.0012426715690500689,0.001658484416470162,-0.001581789972189071,0.003411536087242947,0.0068867521338845245,0.012501989394129569,0.005072255462714948,0.00553487852076155,0.0021856713845404196,0.0004990677898042274,0.0014946345724661946,-0.004083347654847543,-0.011732556126721371,-0.006043990771597212,-0.003182464145288667,-0.013453642169065668,-0.03232765914474114,-0.03294965747573728,-0.011732556126721371,-0.006043990771597212,-0.003182464145288667,-0.013453642169065668,-0.03294965747573728,-0.03232765914474114,0.0039058522327350964,0.018124006056201403,0.019358907311641377,0.003913319291694941,0.009469030803972382,0.012984492578387371,0.0,0.02148072750781649,0.0,0.0,0.0,0.019358907311641377,0.019358907311641377,0.012984492578387371,300
-0.004805419948665693,-0.0009001294015208871,0.008852371921170802,0.013050550689275882,0.000896815406973645,0.004762607448665519,-0.00836889775532994,0.0028199843931235257,-0.0008369559570403197,0.005478156607622523,-0.00893294334461626,0.020168649416429284,-0.0053949613815537055,-0.005901601829389782,-0.003576083216983748,-0.0028441343446909233,-0.003082029722642561,0.0005055015465765771,0.0035710308374161557,-0.011665246732530488,0.017301210585546407,0.007497851912238325,0.004161514890396565,-0.005190792892057796,-0.006737364013876852,-0.004316102801398318,0.010002969670666035,-0.002958700372693302,0.008168463236865639,-0.009986238511621774,0.01571607640058823,0.010379238065635586,0.019216750722676566,-0.016778125374777384,0.001212177443653543,0.02013810281194283,0.00757095449255443,-0.0058175285424808786,0.008055543695781242,0.012583832167656827,0.00024574851533785643,-0.005682999035635265,0.007285078170818993,0.017931889672006755,0.006209368099179165,0.0016756051707920295,0.0016369265738083757,0.0015982634617897442,0.001825134180053335,0.0017864548502620756,0.0014385202256014553,0.0026699419629166226,0.005629419263343126,0.00015329588919564484,8.431780275505325e-05,-0.000622537242805853,-0.0021778932955094435,-0.0009737027081396298,-0.0010120705857127286,-0.0012425550523770363,0.001658329191216336,-0.0015816240853582517,0.0034029144540502236,0.006876308674453621,0.012497142539479929,0.005051568982608355,0.005550214604774322,0.002141959930578888,0.000499222413347725,0.0014507090193053677,-0.004082723664819825,-0.011722521572827592,-0.0060986606169533344,-0.003136980138061842,-0.013378586676367344,-0.03232238469873152,-0.03300424346250758,-0.011722521572827592,-0.0060986606169533344,-0.003136980138061842,-0.013378586676367344,-0.03300424346250758,-0.03232238469873152,0.003905290547144806,0.01812139907802163,0.019356016693040812,0.003912954829306101,0.009467672946655487,0.012982627511885211,0.0,0.021477634578699646,0.0,0.0,0.0,0.019356016693040812,0.019356016693040812,0.012982627511885211,360
-0.0048047813877194374,-0.0009000518901138943,0.008850953812951068,0.013048067787845343,0.0008969735593294842,0.00476196888771926,-0.008367789337867556,0.002819095459485951,-0.0008378288014155604,0.005477278450742845,-0.008933485311245028,0.020165967496362184,-0.005394399832605735,-0.0059007437846183355,-0.003575748003551503,-0.0028439791067339003,-0.003082189191116614,0.0005055455275359417,0.003569423492850095,-0.0116650205420414,0.01729491352790545,0.00748776112560283,0.004160772470139685,-0.005190754537600771,-0.006736189485088386,-0.004315802547071051,0.01000158444900221,-0.002957957777032317,0.008165490797457181,-0.009983633700229597,0.0157089857419518,0.01038017856617518,0.01921117752280658,-0.016771038767071603,0.0012124874406648182,0.020131545967741242,0.007569909371319045,-0.005818478124233518,0.008053793581900247,0.012583616556600967,0.00024275152276715287,-0.0056829008330220735,0.007285221416589283,0.017931524599603007,0.006218901820204156,0.0016781912842069688,0.0016395069729452521,0.0016008381895994315,0.0018278614917267113,0.0017891764449914313,0.0014411908477010465,0.002674156522370268,0.0056388678863631865,0.00015331454439642122,8.433051024829345e-05,-0.0006593531489612567,-0.0021776762068868374,-0.0009736059108520852,-0.001011979045375992,-0.0012424400190885084,0.0016581759420754665,-0.0015814603127900725,0.0033944318360836613,0.006866040708605903,0.012492281577287037,0.005031290121233628,0.005565129932158217,0.0020984701523702586,0.0004993763615900407,0.0014070060769522442,-0.004082091955564104,-0.011712622779398852,-0.006144906490928022,-0.0030997833707156535,-0.013304336906791774,-0.03231706172487804,-0.033058015868769726,-0.011712622779398852,-0.006144906490928022,-0.0030997833707156535,-0.013304336906791774,-0.033058015868769726,-0.03231706172487804,0.0039047294976055436,0.018118795040932518,0.01935312895918469,0.003912595006539966,0.009466316411444948,0.012980764210449278,0.0,0.021474545207575912,0.0,0.0,0.0,0.01935312895918469,0.01935312895918469,0.012980764210449278,420
-0.004804143501636141,-0.0008999748670134067,0.008849534814588679,0.013045578667721033,0.0008971316552353632,0.00476133100163596,-0.008366682183281026,0.0028182094193262204,-0.00083871131094978,0.005476394855133464,-0.00893402075192419,0.02016327452139408,-0.005393837259790948,-0.005899884784107857,-0.0035754113254075253,-0.0028438211208675654,-0.0030823497283632597,0.0005055899947243631,0.0035678180760154166,-0.011664788407498601,0.01728864388609441,0.007477846860078543,0.0041600291375162015,-0.005190717231101814,-0.006735013102611763,-0.0043155016859043474,0.010000197392774328,-0.0029572147863234756,0.008162515700965139,-0.009981025368310817,0.015701921878527984,0.010381004749530149,0.01920556535458604,-0.016763946163838063,0.0012127981874051727,0.020124982825406593,0.0075688645465340895,-0.005819431821819292,0.008052041387815293,0.012583405430974939,0.00023974851254948676,-0.005682804969285117,0.007285366850247069,0.01793116638542692,0.00622830712302633,0.0016807425474854843,0.001642052512145504,0.0016033780471041033,0.0018305521702170694,0.0017918613967724147,0.001443824732603878,0.0026783141374343363,0.005648187936010896,0.00015333329416703992,8.434320979495673e-05,-0.000689899821907517,-0.0021774614319541143,-0.0009735101451726326,-0.001011888479490786,-0.0012423262107130832,0.0016580243247105142,-0.0015812982864163044,0.0033860909675504256,0.0068559500015817915,0.012487413608044687,0.005011418541157254,0.0055796319274550215,0.0020552010839791617,0.0004995296422365775,0.0013635247688021787,-0.004081458849724436,-0.01170285926240059,-0.006184754463751373,-0.003068859896462902,-0.013230893311541224,-0.03231172153387975,-0.03311100094759204,-0.01170285926240059,-0.006184754463751373,-0.003068859896462902,-0.013230893311541224,-0.03311100094759204,-0.03231172153387975,0.003904168634622734,0.018116191864883113,0.01935024252230376,0.003912239014914384,0.00946496030262882,0.012978901487849501,0.0,0.021471456877781712,0.0,0.0,0.0,0.01935024252230376,0.01935024252230376,0.012978901487849501,480
-0.004803504848993867,-0.0008998974212744605,0.008848116050528246,0.01304310355224434,0.0008972896999692797,0.0047606923489936824,-0.008365573624626794,0.0028173154436093107,-0.0008396044766616031,0.005475525085547745,-0.008934530068686405,0.02016058678725885,-0.005393281836367498,-0.0058990315485278775,-0.0035750825956514416,-0.0028436712647619457,-0.003082510195602892,0.000505594789506763,0.0035662309778097443,-0.011664540880500831,0.017282408847455223,0.007468111553865342,0.004159292912870841,-0.005190682213978327,-0.006733848840856549,-0.004315206442596224,0.009998824240536488,-0.0029564740402371653,0.008159543608601093,-0.009978419842454457,0.015694895630540835,0.010381724009924303,0.019199927516932388,-0.01675685969641767,0.0012131219978677432,0.02011842586243049,0.00756782907578347,-0.0058203907080211555,0.008050296154316962,0.012583208831303165,0.0002367472300325063,-0.0056827160694565325,0.007285519266970319,0.01793082966248946,0.006237595041095937,0.0016832619552646034,0.001644566187431978,0.001605886031763447,0.001833209361524423,0.0017945128529876864,0.0014464250407063377,0.0026824197022814857,0.005657390467255582,0.00015335212797167394,8.43559103498639e-05,-0.0007155290218130049,-0.002177248593028063,-0.0009734152426978448,-0.0010117987288313225,-0.0012422134271505366,0.0016578740725467314,-0.001581137721290238,0.0033778952120186155,0.006846038975956552,0.012482546723120068,0.004991954453021748,0.005593728454558072,0.0020121519837687438,0.0004996822631287174,0.0013202643423607585,-0.004080832307811821,-0.011693234621393525,-0.006219567361096913,-0.0030428572925052964,-0.013158257771339058,-0.03230640063953391,-0.03316322799764602,-0.011693234621393525,-0.006219567361096913,-0.0030428572925052964,-0.013158257771339058,-0.03316322799764602,-0.03230640063953391,0.003903607427719406,0.0181135870964295,0.019347355527967104,0.003911886228528591,0.009463603567675904,0.01297703795075028,0.0,0.02146836664605211,0.0,0.0,0.0,0.019347355527967104,0.019347355527967104,0.01297703795075028,540
