W_J1,W_J2,W_J3,W_J4,W_J5,W_J6,W_J7,W_J8,W_J9,W_J10,W_J11,W_J12,W_J13,W_J14,W_J15,W_J16,W_J17,W_J18,W_J19,W_J20,W_J21,W_J22,W_J23,W_J24,W_J25,W_J26,W_J27,W_J28,W_J29,W_J30,W_J31,W_J32,W_J33,W_J34,W_J35,W_J36,W_J37,W_J38,W_J39,W_J40,W_J41,W_J42,W_J43,W_J44,W_J45,W_J46,W_J47,W_J48,W_J49,W_J50,W_J51,W_J52,W_J53,W_J54,W_J55,W_R50,W_R51,W_R52,W_R53,W_R54,W_R55,W_R56,W_R57,W_R58,W_T60,W_T61,W_T62,W_T63,W_T64,W_T65,time
4.28125000001519e-05,0.0,0.0,0.0012788584172232199,0.0,0.0008958653907644998,0.004407460649483207,0.0008121035756060217,0.003120560782465179,0.0,0.0007080911050112537,0.0006204644285548466,0.0012323617943817357,0.0,0.0023480454026722974,0.0,0.005245410754329825,0.0016600077548187186,0.0017797674811776622,0.0,0.0035778218820579836,0.0,0.0019312028612108283,0.0018923239400856374,0.0,0.0,0.00019166765739795242,0.0004982843078385422,0.003356798563222137,0.0008039304898380728,0.0019904830182693486,0.0,0.0003346338339530438,0.0015163887039188245,8.424154761987978e-05,0.0,3.8644549199568375e-05,3.865259758799048e-05,3.8645265204293774e-05,0.0003476310700228702,7.723918826715246e-05,3.862933511042222e-05,0.0,0.00015318619272038493,0.0,3.83303039802112e-05,3.83337236701753e-05,0.0,7.66367361200625e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025987590113477628,0.0,0.0,-0.009475802427205056,-0.021496146371544584,-0.0581200259760387,-0.018136987094847755,-0.003908648842832692,-0.003915290558090618,0.00511516767597495,0.004063375885964508,0.01384159229119166,0.032664984680090874,0.032354539276265026,0.011785315770766023,0
4.281250000015551e-05,0.0,0.0,0.0012790445745331908,0.0,0.0008960238476394048,0.00440829108503348,0.0008122202013052169,0.0031210098846816262,0.0,0.0007082651505042463,0.0006206461192667221,0.0012325421593331416,0.0,0.0023483837649845413,0.0,0.005246180872126586,0.001660249638657862,0.0017800312864959859,0.0,0.003578355521724672,0.0,0.0019316576792197772,0.0018928320460944203,0.0,0.0,0.0001917284714834968,0.0004984424109993118,0.003357327626247464,0.0008040503434484741,0.001990779766191602,0.0,0.00033468506183614844,0.0015166171353748607,8.425423792277619e-05,0.0,3.865022306139441e-05,3.86582951268567e-05,3.8650941904638416e-05,0.0003476816485905854,7.725038437257589e-05,3.863496317881778e-05,0.0,0.00015320441007411837,0.0,3.83366469536792e-05,3.834006532016135e-05,0.0,7.664943092537353e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025983876793612075,0.0,0.0,-0.00947445105400454,-0.021493070366433692,-0.058111375663600306,-0.018134399506459314,-0.003908091408236832,-0.0039148571257424545,0.00557763667847796,0.00361054207959196,0.01376228270153391,0.03272349906321517,0.03234907456720625,0.011774598433450608,60
4.2812500000159124e-05,0.0,0.0,0.0012792307479975536,0.0,0.0008961822512129142,0.004409048960616437,0.0008123368462572852,0.003121459033340797,0.0,0.0007084388573255168,0.0006208270368624197,0.0012327225401807813,0.0,0.0023487221734381112,0.0,0.005246950955647784,0.0016604915449470712,0.0017802950948896548,0.0,0.0035788891585486304,0.0,0.001932111915840209,0.0018933392319560058,0.0,0.0,0.00019178901184202334,0.0004985998025312071,0.0033578566655062905,0.000804170195331329,0.001991076512659332,0.0,0.00033473628031221455,0.0015168455495410689,8.426692726515292e-05,0.0,3.8655874054587187e-05,3.866397006613267e-05,3.86565957702613e-05,0.00034773201584960544,7.726153300779715e-05,3.864056785606654e-05,0.0,0.00015322248416435821,0.0,3.83425404620777e-05,3.8345957599142735e-05,0.0,7.666122617100843e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025980162424546115,0.0,0.0,-0.00947309926663801,-0.021489993218230034,-0.058102725197289116,-0.018131810490851837,-0.003907533660025353,-0.003914454299249627,0.0057786291755657785,0.0034193141716111343,0.013683831231137176,0.032781194903963494,0.0323436200399276,0.011763806475573927,120
4.281250000016274e-05,0.0,0.0,0.0012794171169494561,0.0,0.0008963406072172149,0.004409624980610776,0.0008124536422763411,0.003121908693861653,0.0,0.0007086122481300547,0.0006210071979738857,0.0012329031180102006,0.0,0.0023490609945085706,0.0,0.005247721656376319,0.0016607337180289331,0.0017805591407168576,0.0,0.0035794232476519293,0.0,0.0019325656383843907,0.0018938455139286328,0.0,0.0,0.00019184928166990475,0.0004987564907440794,0.0033583860700069257,0.0008042901480195742,0.001991373510108538,0.0,0.0003347875269946624,0.0015170741302719091,8.427962586087818e-05,0.0,3.8661530941122354e-05,3.866965066537118e-05,3.866225550202224e-05,0.00034778244095816125,7.727269491984897e-05,3.864617887711956e-05,0.0,0.0001532406255293026,0.0,3.8348205781843984e-05,3.835162173734967e-05,0.0,7.667256471910873e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025976443853241844,0.0,0.0,-0.009471745864066601,-0.021486911828170568,-0.05809406881904066,-0.01812921679045273,-0.003906974886108466,-0.00391406697219122,0.005893646696473997,0.0033139707901171976,0.01360624068759588,0.0328381036157452,0.032338214345214444,0.011753158310192273,180
4.281250000016638e-05,0.0,0.0,0.001279603863577572,0.0,0.0008964989216540134,0.004409907546914378,0.0008125707233061304,0.0031223593389132073,0.0,0.0007087853460554474,0.0006211866194555815,0.001233084076491705,0.0,0.0023494006003915847,0.0,0.005248493635737408,0.0016609764058117173,0.0017808236613419703,0.0,0.003579958250014385,0.0,0.001933018915545711,0.0018943509093334611,0.0,0.0,0.00019190928418742116,0.0004989124840099333,0.003358916233883758,0.000804410305288139,0.0019916710141590585,0.0,0.0003348388396785002,0.0015173030632543792,8.429234402562514e-05,0.0,3.8667204758111915e-05,3.8675347771137325e-05,3.8667932113790606e-05,0.00034783302715541835,7.728389340570475e-05,3.865180764817581e-05,0.0,0.00015325891456783214,0.0,3.8353725860369705e-05,3.835714066484921e-05,0.0,7.668361258041155e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.02597271788287793,0.0,0.0,-0.009470389628172022,-0.021483823046638244,-0.058085400673631465,-0.018126615090397237,-0.003906414361854457,-0.003913689483077622,0.005977641249017166,0.0032394772905328818,0.013529514132233383,0.03289425681386665,0.03233289672638105,0.011742746465060783,240
4.281250000017003e-05,0.0,0.0,0.0012797909509028494,0.0,0.0008966571937978327,0.004409918981481772,0.0008126880622076145,0.0031228110718997276,0.0,0.0007089581475996543,0.0006213653065723138,0.0012332653783388892,0.0,0.002349740915547023,0.0,0.005249266759108837,0.001661219557939031,0.0017810886085873987,0.0,0.00358049407190386,0.0,0.0019334717321954238,0.0018948554106530706,0.0,0.0,0.00019196902226999765,0.0004990677898042274,0.0033594470760138022,0.0008045306460955861,0.0019919689728280583,0.0,0.00033489021088819874,0.0015175323110942687,8.430507968199231e-05,0.0,3.8672894160675866e-05,3.868106006427341e-05,3.8673624263751505e-05,0.00034788376180876646,7.72951256109688e-05,3.865745277462229e-05,0.0,0.00015327734104648386,0.0,3.835913793470285e-05,3.836255161090827e-05,0.0,7.669444428109105e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025968985156774742,0.0,0.0,-0.009469030803972382,-0.02148072750781649,-0.058076721934924136,-0.018124006056201403,-0.0039058522327350964,-0.003913319291694941,0.006043990771597212,0.003182464145288667,0.013453642169065668,0.03294965747573728,0.03232765914474114,0.011732556126721371,300
4.2812500000173666e-05,0.0,0.0,0.0012799778395174435,0.0,0.000896815406973645,0.004409918981482151,0.0008128060054729218,0.0031233323265299944,0.0,0.0007091305878783757,0.000621543237784704,0.00123344649115714,0.0,0.0023500808503497364,0.0,0.005250039058324869,0.0016614624523412903,0.0017813532898999316,0.0,0.0035810293628401545,0.0,0.0019339238809024217,0.0018953589520972521,0.0,0.0,0.00019202849792579506,0.000499222413347725,0.003359977437165445,0.000804650867378481,0.001992266637962506,0.0,0.0003349415312853371,0.0015177613324286743,8.431780275505325e-05,0.0,3.867859698365382e-05,3.8686785417177377e-05,3.867932979125937e-05,0.0003479346246606205,7.730638696469597e-05,3.866311201863156e-05,0.0,0.00015329588919564484,0.0,3.836446500722302e-05,3.836787757309868e-05,0.0,7.670510585808414e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025965255023770423,0.0,0.0,-0.009467672946655487,-0.021477634578699646,-0.05806805007912244,-0.01812139907802163,-0.003905290547144806,-0.003912954829306101,0.0060986606169533344,0.003136980138061842,0.013378586676367344,0.03300424346250758,0.03232238469873152,0.011722521572827592,360
4.28125000001773e-05,0.0,0.0,0.0012801644758485718,0.0,0.0008969735593294842,0.00440991898148253,0.0008129451541676105,0.0031239235866225637,0.0,0.0007093026610992444,0.000621720416996928,0.0012336273624660493,0.0,0.0023504202942990107,0.0,0.005250810334661898,0.001661705017546769,0.001781617636421412,0.0,0.00358156398791253,0.0,0.0019343753396929612,0.0018958615238951915,0.0,0.0,0.0001920877138279735,0.0004993763615900407,0.0033605072006696376,0.0008047709389515945,0.001992563934899576,0.0,0.0003349927900200348,0.001517990073318916,8.433051024829345e-05,0.0,3.8684311261716716e-05,3.8692521900208016e-05,3.868504673527991e-05,0.0003479855972903849,7.731767330755978e-05,3.866878334582065e-05,0.0,0.00015331454439642122,0.0,3.836972305375617e-05,3.8373134523906805e-05,0.0,7.671562928539407e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025961528420898557,0.0,0.0,-0.009466316411444948,-0.021474545207575912,-0.058059386877554076,-0.018118795040932518,-0.0039047294976055436,-0.003912595006539966,0.006144906490928022,0.0030997833707156535,0.013304336906791774,0.033058015868769726,0.03231706172487804,0.011712622779398852,420
4.281250000018093e-05,0.0,0.0,0.0012803510020011086,0.0,0.0008971316552353632,0.004409918981482909,0.0008130996094084354,0.0031245045805653087,0.0,0.000709474385521603,0.0006218968584967514,0.001233808122274746,0.0,0.0023507595238232994,0.0,0.0052515811152032,0.0016619474330170209,0.001781881822083926,0.0,0.0035820982907274904,0.0,0.001934826161447408,0.0018963631394324127,0.0,0.0,0.00019214667294040552,0.0004995296422365775,0.0033610366615685304,0.000804890937378444,0.0019928610534465144,0.0,0.0003350440148331319,0.0015182186711669948,8.434320979495673e-05,0.0,3.869003533998029e-05,3.869826788944049e-05,3.8690773444654565e-05,0.00034803666416853666,7.732898113142102e-05,3.867446504140071e-05,0.0,0.00015333329416703992,0.0,3.837492393160172e-05,3.837833431815325e-05,0.0,7.672603829421003e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.025957802975699003,0.0,0.0,-0.00946496030262882,-0.021471456877781712,-0.05805072756691128,-0.018116191864883113,-0.003904168634622734,-0.003912239014914384,0.006184754463751373,0.003068859896462902,0.013230893311541224,0.03311100094759204,0.03231172153387975,0.01170285926240059,480
4.281250000018456e-05,0.0,0.0,0.001280537583831652,0.0,0.0008972896999692797,0.0044099189814832875,0.000813248655508968,0.0031249952959838197,0.0,0.0007096457824884261,0.0006220725779087907,0.0012339889234966558,0.0,0.0023510988647133958,0.0,0.005252352015856118,0.0016621899095514956,0.001782146051065698,0.0,0.0035826326743048165,0.0,0.0019352764085979167,0.0018968638155402477,0.0,0.0,0.0001922053782792678,0.0004996822631287174,0.0033615661660128175,0.0008050109525014599,0.001993158216263299,0.0,0.0003350952382702381,0.0015184472871639218,8.43559103498639e-05,0.0,3.8695767832625526e-05,3.8704022025425084e-05,3.8696508536736596e-05,0.0003480878122813487,7.734030749568796e-05,3.8680155668531046e-05,0.0,0.00015335212797167394,0.0,3.838007682031842e-05,3.838348613347769e-05,0.0,7.673635125649335e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.02595407590150056,0.0,0.0,-0.009463603567675904,-0.02146836664605211,-0.05804206658390131,-0.0181135870964295,-0.003903607427719406,-0.003911886228528591,0.006219567361096913,0.0030428572925052964,0.013158257771339058,0.03316322799764602,0.03230640063953391,0.011693234621393525,540
