component,disrupt_time,repair_start,functional_start
T_L37,6000,6960,50160
T_L168,6000,7200,50400
P_L377,6000,7200,25200
P_L336,6000,7080,25080
P_L345,6000,6840,24840
W_PMA687,6000,6960,17760
W_PMA855,6000,6840,21240
W_PMA856,6000,6840,21240
W_PMA834,6000,6720,24720
W_PMA833,6000,6720,24720
W_PMA737,6000,18480,29280
W_PMA770,6000,22560,40560
