W_WP1,W_WP2,W_WP3,W_WP4,W_WP5,W_WP6,W_WP7,W_WP8,time
0.0015848621438796812,0.0015848621438796832,0.0015848621438796812,0.0015848621438796812,0.0700504547333036,0.0,0.0,0.06371100615778487,1.0
0.0016478462673155702,0.0016478462673155682,0.0016478462673155682,0.0016478462673155682,0.070302635628617,0.0,0.0,0.06371125055935471,101.0
0.0016345167496726377,0.0016345167496726399,0.001634516749672638,0.0016345167496726377,0.07024926465050638,0.0,0.0,0.06371119765181583,123.0
0.0016356869477520972,0.0016356869477520972,0.0016356869477520972,0.0016356869477520992,0.07025395006190298,0.0,0.0,0.06371120227089458,125.0
0.0020192815517094823,0.0020192815517094806,0.0020192815517094806,0.0020192815517094806,0.07179012730959092,0.0,0.0,0.06371300110275299,423.0
0.0020217063788921354,0.0020217063788921376,0.0020217063788921354,0.0020217063788921354,0.07179983991799568,0.0,0.0,0.06371301440242715,425.0
0.002024129996636758,0.002024129996636758,0.002024129996636758,0.0020241299966367605,0.07180954770781642,0.0,0.0,0.0637130277212694,427.0
0.0020265524059936294,0.0020265524059936268,0.0020265524059936268,0.0020265524059936268,0.0718192506832514,0.0,0.0,0.0637130410592769,429.0
0.002041061543976352,0.002041061543976352,0.0020410615439763542,0.002041061543976352,0.07187736766555854,0.0,0.0,0.06371312148965314,441.0
0.0022067244146363138,0.0022067244146363138,0.002206724414636315,0.0022067244146363138,0.07254100527523055,0.0,0.0,0.06371410761668529,679.0
0.0022076449470520383,0.002207644947052036,0.002207644947052036,0.002207644947052036,0.07254469324280027,0.0,0.0,0.06371411345459213,681.0
0.002208565104214208,0.0022085651042142106,0.002208565104214208,0.002208565104214208,0.07254837971103832,0.0,0.0,0.0637141192941815,683.0
0.0022094848863124777,0.0022094848863124803,0.0022094848863124777,0.0022094848863124777,0.07255206468070097,0.0,0.0,0.06371412513545105,685.0
0.0022122419841135547,0.002212241984113552,0.002212241984113552,0.002212241984113552,0.07256311060577603,0.0,0.0,0.06371414266932182,691.0
0.0016650755552846666,0.0016650755552846703,0.0016650755552846666,0.0016650755552846666,0.07037162211998639,0.0,0.0,0.06371131989884772,898.0
0.001620393848337326,0.001620393848337326,0.001620393848337328,0.001620393848337326,0.07019271768336059,0.0,0.0,0.06371114229001129,929.0
0.0016175158842545872,0.001617515884254589,0.0016175158842545872,0.0016175158842545872,0.07018119463366733,0.0,0.0,0.06371113109664897,931.0
0.001614638494123773,0.001614638494123773,0.0016146384941237747,0.001614638494123773,0.07016967391156638,0.0,0.0,0.0637111199350713,933.0
0.0016117616787338239,0.0016117616787338239,0.0016117616787338239,0.0016117616787338258,0.0701581555201535,0.0,0.0,0.06371110880521821,935.0
0.0015973862223161313,0.0015973862223161313,0.001597386222316133,0.0015973862223161313,0.07010059851886526,0.0,0.0,0.06371105362960072,945.0
0.0012856120216129276,0.0012856120216129276,0.001285612021612928,0.0012856120216129304,0.0688524751519973,0.0,0.0,0.06371002706554559,1183.0
0.0012831185938450471,0.0012831185938450471,0.0012831185938450471,0.0012831185938450482,0.06884249446342278,0.0,0.0,0.0637100200880426,1185.0
0.00128062573595914,0.0012806257359591414,0.00128062573595914,0.00128062573595914,0.06883251607436103,0.0,0.0,0.06371001313052448,1187.0
0.0012781334479831006,0.0012781334479831006,0.0012781334479831006,0.0012781334479831017,0.06882253998488447,0.0,0.0,0.06371000619295207,1189.0
0.0016208581384175567,0.001620858138417557,0.0016208581384175576,0.0016208581384175567,0.07019457665531952,0.0,0.0,0.06371114410164928,1561.0
0.0016220343254757898,0.0016220343254757918,0.0016220343254757898,0.0016220343254757898,0.07019928598861255,0.0,0.0,0.06371114868670939,1563.0
0.0016232099963747,0.0016232099963747,0.001623209996374702,0.0016232099963747,0.07020399326020248,0.0,0.0,0.06371115327470367,1565.0
0.0016243851514219124,0.0016243851514219144,0.0016243851514219124,0.0016243851514219124,0.07020869847131762,0.0,0.0,0.06371115786562996,1567.0
0.0016320111065124265,0.0016320111065124265,0.0016320111065124285,0.0016320111065124265,0.07023923220401879,0.0,0.0,0.06371118777796908,1580.0
0.00181745076253899,0.00181745076253899,0.0018174507625389911,0.00181745076253899,0.07098178467401181,0.0,0.0,0.06371198162385586,1795.0
0.0013072585409368653,0.0013072585409368656,0.0013072585409368731,0.0013072585409368653,0.0689391225825503,0.0,0.0,0.06371008841880285,2692.0
0.001621277329757822,0.001621277329757822,0.001621277329757822,0.0016212773297578228,0.07019625505422178,0.0,0.0,0.0637111457351905,3018.0
0.0016224533328485604,0.0016224533328485604,0.0016224533328485621,0.0016224533328485604,0.07020096365269071,0.0,0.0,0.06371115032129646,3020.0
0.0016236288198893732,0.0016236288198893751,0.0016236288198893732,0.0016236288198893732,0.07020567018989342,0.0,0.0,0.06371115491033594,3022.0
0.001624803791188078,0.001624803791188078,0.001624803791188078,0.0016248037911880799,0.07021037466705876,0.0,0.0,0.06371115950230645,3024.0
0.0016341850316208071,0.0016341850316208071,0.001634185031620809,0.0016341850316208071,0.0702479364698185,0.0,0.0,0.06371119634333527,3040.0
0.0022014045347666794,0.0022014045347666794,0.0022014045347666794,0.0022014045347666824,0.07251969209724203,0.0,0.0,0.06371407395817531,3589.0
0.0016256995053294632,0.0016256995053294632,0.0016256995053294632,0.0016256995053234933,0.07021396102753139,0.0,0.0,0.0637111630062195,4478.0
0.0016268735683147644,0.0016268735683147627,0.0016268735683147627,0.0016268735683147627,0.0702186618766106,0.0,0.0,0.06371116760335155,4480.0
0.0016280471164061311,0.0016280471164061311,0.0016280471164061311,0.001628047116406133,0.07022336066903337,0.0,0.0,0.06371117220340884,4482.0
