,time_min,power_perf,water_perf
0,1.0,0.9999999999999989,1.0
1,101.0,0.9773950484391808,0.978492013172188
2,115.0,0.9773950484391808,1.0
3,117.0,0.9773950484391808,1.0
4,329.0,0.9773950484391808,1.0
5,413.0,0.9773950484391808,1.0
6,415.0,0.9773950484391808,1.0
7,417.0,0.9983853606027975,1.0
8,419.0,0.9983853606027975,1.0
9,421.0,0.9983853606027975,1.0
10,427.0,0.9983853606027975,1.0
11,657.0,0.9983853606027975,0.8720939129603348
12,985.0,0.9983853606027975,0.905879068872812
13,1025.0,0.9983853606027975,1.0
14,1027.0,0.9991926803013982,1.0
15,1029.0,0.9991926803013982,1.0
16,1031.0,0.9991926803013982,1.0
17,1037.0,0.9991926803013982,1.0
18,1313.0,0.9991926803013982,1.0
19,1635.0,0.9991926803013982,1.0
20,1637.0,0.9999999999999989,1.0
21,1639.0,0.9999999999999989,1.0
