capacity,centrality,zone
T_L37,T_L37,T_L37
T_L168,T_L168,T_L168
P_L377,P_L336,P_L377
P_L336,P_L345,P_L336
P_L345,P_L377,P_L345
W_PMA834,W_PMA687,W_PMA687
W_PMA833,W_PMA737,W_PMA855
W_PMA687,W_PMA855,W_PMA856
W_PMA737,W_PMA856,W_PMA834
W_PMA855,W_PMA833,W_PMA833
W_PMA856,W_PMA834,W_PMA737
W_PMA770,W_PMA770,W_PMA770
