W_J10,W_J11,W_J12,W_J13,W_J21,W_J22,W_J23,W_J31,W_J32,W_R9,W_T2,time
0.0,0.00946352946494816,0.00946352946494979,0.006309019643368123,0.009463529464938553,0.012618039286731378,0.009463529465182833,0.006309019643218061,0.0063090196430006075,-0.09759953200198555,0.02820031592564804,0
0.0,0.009463529464948885,0.00946352946495065,0.006309019643368691,0.009463529464939365,0.0126180392867325,0.009463529465183678,0.006309019643218607,0.006309019643001159,-0.09757984147807695,0.02818062540173341,60
0.0,0.009463529464949612,0.009463529464951508,0.00630901964336926,0.009463529464940177,0.012618039286733624,0.00946352946518452,0.0063090196432191515,0.006309019643001711,-0.09756015888850915,0.02816094281215959,120
0.0,0.009463529464950337,0.009463529464952368,0.006309019643369826,0.009463529464940987,0.012618039286734743,0.009463529465185364,0.006309019643219697,0.006309019643002261,-0.09754048617329628,0.02814127009694069,180
0.0,0.009463529464951062,0.009463529464953224,0.006309019643370393,0.009463529464941799,0.012618039286735864,0.009463529465186207,0.006309019643220242,0.006309019643002812,-0.09752082333170058,0.028121607255338976,240
0.0,0.009463529464951785,0.00946352946495408,0.00630901964337096,0.009463529464942609,0.012618039286736982,0.009463529465187047,0.006309019643220786,0.006309019643003362,-0.09750117036259745,0.02810195428622983,300
0.0,0.009463529464952507,0.009463529464954937,0.006309019643371525,0.009463529464943417,0.012618039286738101,0.00946352946518789,0.006309019643221329,0.006309019643003911,-0.09748152726485952,0.02808231118848591,360
0.0,0.00946352946495323,0.009463529464955794,0.006309019643372091,0.009463529464944226,0.01261803928673922,0.009463529465188731,0.006309019643221873,0.006309019643004461,-0.09746189403735604,0.02806267796097641,420
0.0,0.009463529464953952,0.00946352946495665,0.006309019643372656,0.009463529464945034,0.012618039286740334,0.00946352946518957,0.006309019643222416,0.00630901964300501,-0.09744227067895346,0.028043054602567837,480
0.0,0.009463529464954674,0.009463529464957505,0.006309019643373222,0.009463529464945844,0.012618039286741451,0.00946352946519041,0.006309019643222959,0.006309019643005558,-0.0974226571885159,0.02802344111212427,540
0.0,0.009463529464955397,0.009463529464958358,0.0063090196433737864,0.009463529464946649,0.012618039286742566,0.009463529465191248,0.006309019643223502,0.006309019643006107,-0.0974030535649036,0.028003837488505986,600
0.0,0.009463529464956119,0.00946352946495921,0.00630901964337435,0.009463529464947456,0.012618039286743682,0.009463529465192085,0.006309019643224044,0.006309019643006654,-0.09738345980697498,0.027984243730571377,660
0.0,0.009463529464956837,0.009463529464960065,0.006309019643374915,0.009463529464948262,0.012618039286744794,0.009463529465192924,0.006309019643224586,0.006309019643007201,-0.0973638759135851,0.027964659837175516,720
0.0,0.009463529464957559,0.009463529464960917,0.006309019643375477,0.009463529464949065,0.01261803928674591,0.009463529465193762,0.006309019643225126,0.0063090196430077485,-0.09734430188358595,0.02794508580717038,780
0.0,0.009463529464958277,0.009463529464961769,0.00630901964337604,0.00946352946494987,0.01261803928674702,0.009463529465194596,0.006309019643225669,0.006309019643008296,-0.09732473771582688,0.02792552163940535,840
0.0,0.009463529464958995,0.009463529464962622,0.006309019643376603,0.009463529464950675,0.012618039286748133,0.009463529465195433,0.006309019643226208,0.006309019643008842,-0.09730518340915444,0.027905967332726933,900
0.0,0.009463529464959715,0.00946352946496347,0.006309019643377164,0.009463529464951478,0.012618039286749243,0.009463529465196269,0.006309019643226749,0.006309019643009388,-0.09728563896241231,0.027886422885978826,960
0.0,0.009463529464960431,0.00946352946496432,0.006309019643377727,0.009463529464952283,0.012618039286750352,0.009463529465197103,0.006309019643227287,0.0063090196430099325,-0.09726610437444061,0.027866888298001168,1020
0.0,0.009463529464961148,0.00946352946496517,0.006309019643378288,0.009463529464953085,0.01261803928675146,0.009463529465197938,0.0063090196432278286,0.006309019643010478,-0.09724657964407768,0.027847363567632278,1080
0.0,0.009463529464961864,0.009463529464966019,0.006309019643378848,0.009463529464953886,0.012618039286752569,0.009463529465198772,0.006309019643228366,0.006309019643011023,-0.09722706477015802,0.02782784869370667,1140
0.0,0.00946352946496258,0.009463529464966867,0.0063090196433794096,0.009463529464954688,0.012618039286753677,0.009463529465199605,0.006309019643228905,0.006309019643011567,-0.097207559751514,0.0278083436750567,1200
0.0,0.009463529464963297,0.009463529464967715,0.00630901964337997,0.009463529464955489,0.012618039286754784,0.009463529465200437,0.006309019643229444,0.0063090196430121105,-0.09718806458697492,0.027788848510511673,1260
0.0,0.009463529464964012,0.00946352946496856,0.006309019643380529,0.009463529464956289,0.012618039286755891,0.009463529465201266,0.006309019643229981,0.006309019643012654,-0.09716857927536646,0.027769363198897265,1320
0.0,0.009463529464964726,0.009463529464969409,0.00630901964338109,0.009463529464957088,0.012618039286756996,0.009463529465202099,0.006309019643230519,0.006309019643013196,-0.09714910381551244,0.027749887739037315,1380
0.0,0.009463529464965443,0.009463529464970255,0.006309019643381647,0.009463529464957888,0.0126180392867581,0.00946352946520293,0.006309019643231056,0.00630901964301374,-0.09712963820623337,0.0277304221297523,1440
0.0,0.009463529464966154,0.0094635294649711,0.006309019643382207,0.009463529464958686,0.012618039286759202,0.00946352946520376,0.006309019643231593,0.0063090196430142815,-0.09711018244634698,0.027710966369859997,1500
0.0,0.009463529464966869,0.009463529464971945,0.006309019643382765,0.009463529464959486,0.012618039286760306,0.00946352946520459,0.006309019643232128,0.006309019643014825,-0.09709073653466763,0.027691520458174718,1560
0.0,0.009463529464967584,0.00946352946497279,0.006309019643383322,0.009463529464960284,0.012618039286761407,0.009463529465205418,0.006309019643232665,0.006309019643015365,-0.09707130047000787,0.027672084393509034,1620
