W_P10,W_P11,W_P12,W_P21,W_P22,W_P31,W_P110,W_P111,W_P112,W_P113,W_P121,W_P122,W_WP9,time
0.14559634401309354,0.09953680226519875,0.006971065132839193,0.017591840282964535,0.008801483967160807,0.00323162290493025,-0.07619712797309354,0.03659601228789478,0.006905079699266023,0.0006620454928391933,0.00954064254493025,0.00307739673506975,0.14559634401309354,0
0.14556022722732948,0.09950887454118315,0.006972512820569971,0.0175846342956416,0.00880003627943003,0.0032306398305047054,-0.07616101118732946,0.03658782322614631,0.006911821073283724,0.0006634931805699704,0.009539659470504705,0.0030783798094952946,0.14556022722732948,60
0.14552411893647074,0.09948095298974748,0.006973960555842529,0.01757743006759772,0.00879858854415747,0.003229657319125522,-0.07612490289647073,0.036579636486723244,0.006918560077434231,0.0006649409158425287,0.009538676959125521,0.003079362320874478,0.14552411893647074,120
0.1454880191424458,0.09945303761252923,0.006975408337026721,0.01757022759926994,0.008797140762973278,0.003228675370646621,-0.0760888031024458,0.03657145206991656,0.006925296713056719,0.0006663886970267211,0.009537695010646621,0.003080344269353379,0.1454880191424458,180
0.14545192784717595,0.09942512841119568,0.006976856162997111,0.01756302689106268,0.00879569293700289,0.003227693984917582,-0.07605271180717595,0.036563269975980264,0.006932030981022624,0.0006678365229971107,0.009536713624917582,0.0030813256550824178,0.14545192784717595,240
0.14541584505258193,0.09939722538741377,0.006978304032631957,0.017555827943380176,0.008794245067368043,0.0032267131617879715,-0.07601662901258192,0.03655509020516815,0.006938762882199896,0.0006692843926319577,0.009535732801787971,0.0030823064782120285,0.14541584505258193,300
0.1453797707605841,0.09936932854284991,0.006979751944810425,0.01754863075662709,0.008792797155189574,0.0032257329011070863,-0.07598055472058408,0.036546912757734175,0.0069454924174553985,0.0006707323048104253,0.009534752541107087,0.0030832867388929136,0.1453797707605841,360
0.14534370497310273,0.09934143787917063,0.006981199898417058,0.017541435331207663,0.008791349201582942,0.0032247532027244235,-0.07594448893310272,0.03653873763393209,0.006952219587650855,0.000672180258417058,0.009533772842724423,0.0030842664372755764,0.14534370497310273,420
0.1453076476920575,0.09931355339804188,0.006982647892334949,0.017534241667526262,0.008789901207665051,0.0032237740664893618,-0.0759084316520575,0.03653056483401562,0.006958944393649428,0.0006736282523349487,0.009532793706489361,0.003085245573510638,0.1453076476920575,480
0.145271598919368,0.09928567510112929,0.006984095925454171,0.017527049765987388,0.008788453174545829,0.0032227954922513136,-0.075872382879368,0.0365223943582387,0.006965666836307128,0.0006750762854541705,0.009531815132251313,0.0030862241477486864,0.145271598919368,540
0.14523555865695323,0.09925780299009813,0.006985543996664375,0.017519859626995662,0.008787005103335625,0.0032218174798594275,-0.07583634261695323,0.03651422620685509,0.006972386916480534,0.0006765243566643745,0.009530837119859428,0.0030872021601405725,0.14523555865695323,600
0.14519952690673205,0.09922993706661364,0.00698699210485919,0.01751267125095517,0.00878555699514081,0.0032208400291632304,-0.07580031086673204,0.0365060603801184,0.00697910463502241,0.00067797246485919,0.00952985966916323,0.0030881796108367695,0.14519952690673205,660
0.14516350367062278,0.0992020773323404,0.006988440248934473,0.017505484638270636,0.008784108851065526,0.0032198631400117165,-0.07576428763062276,0.03649789687828235,0.006985819992783174,0.0006794206089344733,0.009528882780011716,0.0030891564999882834,0.14516350367062278,720
0.1451274889505437,0.09917422378894299,0.0069898884277889905,0.017498299789346406,0.008782660672211009,0.003218886812254279,-0.07572827291054368,0.03648973570160069,0.006992532990610324,0.0006808687877889908,0.009527906452254278,0.003090132827745721,0.1451274889505437,780
0.1450914827484125,0.0991463764380856,0.006991336640322774,0.01749111670458689,0.008781212459677227,0.0032179110457399916,-0.07569226670841249,0.03648157685032689,0.006999243629350344,0.0006823170003227739,0.009526930685739992,0.0030911085942600084,0.1450914827484125,840
0.14505548506614668,0.09911853528143183,0.006992784885439693,0.01748393538439677,0.008779764214560306,0.0032169358403180766,-0.07565626902614668,0.036473420324714845,0.007005951909845461,0.0006837652454396933,0.009525955480318076,0.0030920837996819234,0.14505548506614668,900
0.1450194959056633,0.09909070032064539,0.006994233162046951,0.01747675582918033,0.008778315937953049,0.0032159611958375673,-0.07562027986566329,0.036465266125017895,0.0070126578329351525,0.0006852135220469511,0.009524980835837568,0.0030930584441624326,0.1450194959056633,960
0.14498351526887904,0.09906287155738969,0.006995681469052269,0.0174695780393418,0.00877686763094773,0.0032149871121475537,-0.07558429922887903,0.036457114251489356,0.007019361399458376,0.0006866618290522691,0.009524006752147554,0.0030940325278524462,0.14498351526887904,1020
0.14494754315771025,0.09903504899332717,0.006997129805367169,0.017462402015285993,0.008775419294632832,0.0032140135890970692,-0.07554832711771023,0.036448964704383066,0.007026062610249768,0.0006881101653671692,0.00952303322909707,0.0030950060509029307,0.14494754315771025,1080
0.1449115795740732,0.0990072326301208,0.006998578169905109,0.017455227757417285,0.00877397093009489,0.0032130406265351015,-0.07551236353407319,0.036440817483952385,0.007032761466142504,0.0006895585299051094,0.009522060266535102,0.0030959790134648985,0.1449115795740732,1140
0.14487562451988342,0.09897942246943289,0.007000026561582442,0.017448055266139944,0.008772522538417557,0.0032120682243105885,-0.07547640847988343,0.036432672590450535,0.007039457967967025,0.0006910069215824425,0.00952108786431059,0.0030969514156894114,0.14487562451988342,1200
0.1448396779970562,0.09895161851292486,0.007001474979318599,0.017440884541858805,0.008771074120681401,0.0032110963822725093,-0.07544046195705618,0.03642453002413132,0.0070461521165500855,0.0006924553393185993,0.009520116022272509,0.0030979232577274906,0.1448396779970562,1260
