component,disrupt_time,repair_start,functional_start
T_L193,6000,6720,49920
T_L195,6000,50640,93840
T_L56,6000,95520,138720
P_L329,6000,7200,25200
P_L335,6000,25920,43920
W_PMA711,6000,7080,17880
W_PMA687,6000,6960,17760
W_PMA856,6000,6840,21240
W_PMA833,6000,6720,24720
W_PMA758,6000,18480,36480
W_PMA679,6000,18480,32880
W_PMA737,6000,22080,32880
W_PMA766,6000,25920,43920
